"G" "D" "r" "C" "L" "s" "b" "width_H" "center_H" "ss_H" "sss"
"442" 900 32 1.53 20 10000 0.7 0.0625 1.18355445718445 8.2999055329359 2.85550878587403 4.07929826553433
"443" 1000 32 1.53 20 10000 0.7 0.0625 1.57171191525907 6.56285111421104 1.61925072484113 2.31321532120161
"444" 100 32 1.53 20 10000 0.75 0.0625 1.33327522728152 4.18793630650531 2.25019612074504 3.00026149432672
"445" 200 32 1.53 20 10000 0.75 0.0625 1.21020144537443 4.57936540924393 2.73114436328409 3.64152581771212
"446" 300 32 1.53 20 10000 0.75 0.0625 1.18253264741184 4.0157866723295 2.86044572761306 3.81392763681741
"447" 400 32 1.53 20 10000 0.75 0.0625 0.964512361898879 5.71989594740346 4.29976177825609 5.73301570434145
"448" 500 32 1.53 20 10000 0.75 0.0625 1.13685059150549 4.8210857167689 3.09494693510546 4.12659591347394
"449" 600 32 1.53 20 10000 0.75 0.0625 1.19737989737386 6.08996298639048 2.78994772615017 3.71993030153356
"450" 700 32 1.53 20 10000 0.75 0.0625 1.55337472150573 7.66655152403356 1.65770605716381 2.21027474288507
"451" 800 32 1.53 20 10000 0.75 0.0625 1.51320866003234 7.32984579642803 1.74687711416152 2.32916948554869
"452" 900 32 1.53 20 10000 0.75 0.0625 1.13121296524209 6.89231878624888 3.12587238035245 4.16782984046994
"453" 1000 32 1.53 20 10000 0.75 0.0625 1.22982157673328 7.54146173409884 2.64469609960187 3.52626146613583
"454" 100 32 1.53 20 10000 0.8 0.0625 1.31610954114694 4.38444710208581 2.30927639451815 2.88659549314769
"455" 200 32 1.53 20 10000 0.8 0.0625 1.20096110504249 4.20036825010879 2.77333355731166 3.46666694663958
"456" 300 32 1.53 20 10000 0.8 0.0625 1.17445125936257 4.66688584325673 2.89994656428461 3.62493320535576
"457" 400 32 1.53 20 10000 0.8 0.0625 0.924648807429224 4.39503120682511 4.67849708902728 5.8481213612841
"458" 500 32 1.53 20 10000 0.8 0.0625 1.16501861616054 4.69092614642839 2.94709585129108 3.68386981411385
"459" 600 32 1.53 20 10000 0.8 0.0625 1.22788772783749 4.43932442085665 2.65303313235294 3.31629141544117
"460" 700 32 1.53 20 10000 0.8 0.0625 1.02082206158044 6.34051196931279 3.83848543286164 4.79810679107705
"461" 800 32 1.53 20 10000 0.8 0.0625 1.30331743930085 5.57780480433807 2.35483009985344 2.9435376248168
"462" 900 32 1.53 20 10000 0.8 0.0625 1.3952111249992 6.68762081758092 2.05485002614115 2.56856253267643
"463" 1000 32 1.53 20 10000 0.8 0.0625 1.38705454863469 6.8592925018135 2.07908818082101 2.59886022602626
"464" 100 32 1.53 20 10000 0.85 0.0625 1.09902026933836 3.66659203021787 3.31168168976331 3.89609610560389
"465" 200 32 1.53 20 10000 0.85 0.0625 1.27039635908117 3.31778403284396 2.47845769621575 2.91583258378324
"466" 300 32 1.53 20 10000 0.85 0.0625 1.28838847544731 4.2187428354416 2.4097185921991 2.834963049646
"467" 400 32 1.53 20 10000 0.85 0.0625 0.855875206112233 3.63065020277322 5.46058410275075 6.42421659147147
"468" 500 32 1.53 20 10000 0.85 0.0625 1.1491179563162 4.43094023533325 3.02921967686528 3.56378785513563
"469" 600 32 1.53 20 10000 0.85 0.0625 1.32330956547718 4.55143461049158 2.28421557130583 2.68731243683039
"470" 700 32 1.53 20 10000 0.85 0.0625 0.992998354500107 4.85620575694285 4.05660698081908 4.77247880096362
"471" 800 32 1.53 20 10000 0.85 0.0625 1.08159489786821 4.17524367259057 3.4192490226581 4.02264590900953
"472" 900 32 1.53 20 10000 0.85 0.0625 1.04544425833588 4.57425199122331 3.65980737329253 4.30565573328532
"473" 1000 32 1.53 20 10000 0.85 0.0625 0.905952422562336 5.39941276572247 4.87359246295176 5.73363819170795
"474" 100 32 1.53 20 10000 0.9 0.0625 0.899039359858221 3.4275500219571 4.94883051174482 5.49870056860535
"475" 200 32 1.53 20 10000 0.9 0.0625 1.1379054457461 3.75302871017357 3.08921147669526 3.43245719632807
